18424005,Đặng Văn Thường,dvthuong@gmail.com,0,0,0,4.5
18424013,Nguyễn Ngọc Châu,nnchau@outlook.com,2,8,8,5.5
18424013,Nguyễn Ngọc 3,nnchau@outlook.com,1,1,1,1
18424014,Nguyễn Ngọc 4,nnchau@outlook.com,2,8,8,8.5
18424015,Nguyễn Ngọc 5,nnchau@outlook.com,2,8,8,7.5
18424016,Nguyễn Ngọc 6,nnchau@outlook.com,2,8,8,6.5
18424017,Nguyễn Ngọc 7,nnchau@outlook.com,2,8,8,3.5
18424018,Nguyễn Ngọc 8,nnchau@outlook.com,2,8,8,7.5
18424019,Nguyễn Ngọc 9,nnchau@outlook.com,2,8,8,9.5
18424010,Nguyễn Ngọc 10,nnchau@outlook.com,2,8,8,8.5
18424011,Nguyễn Ngọc 11,nnchau@outlook.com,2,8,8,4.5
18424012,Nguyễn Ngọc 12,nnchau@outlook.com,2,8,8,8.5
18424013,Nguyễn Ngọc 13,nnchau@outlook.com,2,8,8,9.5
